"subscriptionId","resourceGroup","name","type","location","totalTags","estadoEtiquetado","tagsActuales"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","cloud-shell-storage-southcentralus","cs710033fff961dc971","microsoft.storage/storageaccounts","southcentralus","1","Etiquetado bajo","{""ms-resource-usage"":""azure-cloud-shell""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","gprotgautomation","AutoStop_CreateAlert_Parent","microsoft.automation/automationaccounts/runbooks","eastus2","1","Etiquetado bajo","{""version"":""1.0.0.0""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","migracion-mysql-test","NIC-yz756syqqj9gdkuy2q9dw7rk","microsoft.network/networkinterfaces","southcentralus","1","Etiquetado bajo","{""ServiceResourceId"":""/subscriptions/720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78/resourceGroups/Migracion-MySQL-test/providers/Microsoft.DataMigration/services/Migracion-Mysql-test""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","gprotgautomation","Bootstrap_Main","microsoft.automation/automationaccounts/runbooks","eastus2","1","Etiquetado bajo","{""version"":""1.0.0.0""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","gprotgautomation","gProtGAutommationAccount","microsoft.automation/automationaccounts","eastus2","1","Etiquetado bajo","{""StartStopVMVersion"":""1.0.0.0""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","gprotgautomation","AutoStop_Disable","microsoft.automation/automationaccounts/runbooks","eastus2","1","Etiquetado bajo","{""version"":""1.0.0.0""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","gprotgautomation","ScheduledStartStop_Parent","microsoft.automation/automationaccounts/runbooks","eastus2","1","Etiquetado bajo","{""version"":""1.0.0.0""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","vmdatabaseptg-datadisk-000-20190606-225013","microsoft.compute/disks","southcentralus","1","Etiquetado bajo","{""RSVaultBackup"":""0ffc5d85-7aaf-4828-ad4c-f7657c69be5a""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","gprotgautomation","AutoStop_CreateAlert_Child","microsoft.automation/automationaccounts/runbooks","eastus2","1","Etiquetado bajo","{""version"":""1.0.0.0""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","gprotgautomation","ScheduledStartStop_Child_Classic","microsoft.automation/automationaccounts/runbooks","eastus2","1","Etiquetado bajo","{""version"":""1.0.0.0""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","vmdatabaseptg-osdisk-20190606-225013","microsoft.compute/disks","southcentralus","1","Etiquetado bajo","{""RSVaultBackup"":""0ffc5d85-7aaf-4828-ad4c-f7657c69be5a""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-webapp","ostickets14v3","microsoft.dbformysql/flexibleservers","southcentralus","1","Etiquetado bajo","{""aplicacion"":""OSTickets""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","gprotgautomation","ScheduledStartStop_Child","microsoft.automation/automationaccounts/runbooks","eastus2","1","Etiquetado bajo","{""version"":""1.0.0.0""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","gprotgautomation","SequencedStartStop_Parent","microsoft.automation/automationaccounts/runbooks","eastus2","1","Etiquetado bajo","{""version"":""1.0.0.0""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","gprotgautomation","AutoStop_VM_Child","microsoft.automation/automationaccounts/runbooks","eastus2","1","Etiquetado bajo","{""version"":""1.0.0.0""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","cloud-shell-storage-southcentralus","cs7720bb4fd9e4dx4525x95e","microsoft.storage/storageaccounts","southcentralus","1","Etiquetado bajo","{""ms-resource-usage"":""azure-cloud-shell""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-webapp","Uso excesivo CPU en BD OSTickets","microsoft.insights/metricalerts","global","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","defaultresourcegroup-eus","ServiceMap(DefaultWorkspace-720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78-EUS)","microsoft.operationsmanagement/solutions","eastus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-webapp","Cpu crítico","microsoft.insights/metricalerts","global","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgweb","webappprotg","microsoft.web/sites","centralus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","defaultresourcegroup-eus","InfrastructureInsights(DefaultWorkspace-720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78-EUS)","microsoft.operationsmanagement/solutions","eastus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgweb","Errores 500 en web app","microsoft.insights/metricalerts","global","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgweb","osTicket-wapp-Insight","microsoft.insights/components","southcentralus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","gprotgautomation","Start-Stop-VM[gProtGAutomationOMS]","microsoft.operationsmanagement/solutions","eastus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-webapp","EscalarServicioOSTickets","microsoft.insights/autoscalesettings","southcentralus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","AlertadePrueba","microsoft.insights/metricalerts","global","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","gprotgautomation","SecurityCenterFree(gProtGAutomationOMS)","microsoft.operationsmanagement/solutions","eastus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","ai_osticket-wapp-insight_0785bd01-1b07-4315-8c52-0ade30310c05_managed","managed-osTicket-wapp-Insight-ws","microsoft.operationalinsights/workspaces","southcentralus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","rgprotgprodperfdiag333","microsoft.storage/storageaccounts","southcentralus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","loganalyticsdefaultresources","DefaultQueryPack","microsoft.operationalinsights/querypacks","eastus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgweb","ctaportalprotg","microsoft.storage/storageaccounts","southcentralus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-webapp","tickets cpu max","microsoft.insights/metricalerts","global","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","rgprotgproddiag765","microsoft.storage/storageaccounts","southcentralus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","gprotgautomation","AzureAutomationTutorial","microsoft.automation/automationaccounts/runbooks","eastus2","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","rgprotgprodperfdiag884","microsoft.storage/storageaccounts","southcentralus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-webapp","error ostickets mayor 40","microsoft.insights/metricalerts","global","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","migracion-mysql-test","Migracion-Mysql-test","microsoft.datamigration/services","southcentralus","0","Sin etiquetas","{}"
